run,zt_dc_dBOhm,bw_GHz
0,71.540,1.2589
1,71.540,1.2589
2,71.540,1.2589
3,71.540,1.2589
4,71.540,1.2589
5,71.540,1.2589
6,71.540,1.2589
7,71.540,1.2589
8,71.540,1.2589
9,71.540,1.2589
10,71.540,1.2589
11,71.540,1.2589
12,71.540,1.2589
13,71.540,1.2589
14,71.540,1.2589
15,71.540,1.2589
16,71.540,1.2589
17,71.540,1.2589
18,71.540,1.2589
19,71.540,1.2589
20,71.540,1.2589
21,71.540,1.2589
22,71.540,1.2589
23,71.540,1.2589
24,71.540,1.2589
25,71.540,1.2589
26,71.540,1.2589
27,71.540,1.2589
28,71.540,1.2589
29,71.540,1.2589
30,71.540,1.2589
31,71.540,1.2589
32,71.540,1.2589
33,71.540,1.2589
34,71.540,1.2589
35,71.540,1.2589
36,71.540,1.2589
37,71.540,1.2589
38,71.540,1.2589
39,71.540,1.2589
40,71.540,1.2589
41,71.540,1.2589
42,71.540,1.2589
43,71.540,1.2589
44,71.540,1.2589
45,71.540,1.2589
46,71.540,1.2589
47,71.540,1.2589
48,71.540,1.2589
49,71.540,1.2589
50,71.540,1.2589
51,71.540,1.2589
52,71.540,1.2589
53,71.540,1.2589
54,71.540,1.2589
55,71.540,1.2589
56,71.540,1.2589
57,71.540,1.2589
58,71.540,1.2589
59,71.540,1.2589
60,71.540,1.2589
61,71.540,1.2589
62,71.540,1.2589
63,71.540,1.2589
64,71.540,1.2589
65,71.540,1.2589
66,71.540,1.2589
67,71.540,1.2589
68,71.540,1.2589
69,71.540,1.2589
70,71.540,1.2589
71,71.540,1.2589
72,71.540,1.2589
73,71.540,1.2589
74,71.540,1.2589
75,71.540,1.2589
76,71.540,1.2589
77,71.540,1.2589
78,71.540,1.2589
79,71.540,1.2589
80,71.540,1.2589
81,71.540,1.2589
82,71.540,1.2589
83,71.540,1.2589
84,71.540,1.2589
85,71.540,1.2589
86,71.540,1.2589
87,71.540,1.2589
88,71.540,1.2589
89,71.540,1.2589
90,71.540,1.2589
91,71.540,1.2589
92,71.540,1.2589
93,71.540,1.2589
94,71.540,1.2589
95,71.540,1.2589
96,71.540,1.2589
97,71.540,1.2589
98,71.540,1.2589
99,71.540,1.2589
100,71.540,1.2589
101,71.540,1.2589
102,71.540,1.2589
103,71.540,1.2589
104,71.540,1.2589
105,71.540,1.2589
106,71.540,1.2589
107,71.540,1.2589
108,71.540,1.2589
109,71.540,1.2589
110,71.540,1.2589
111,71.540,1.2589
112,71.540,1.2589
113,71.540,1.2589
114,71.540,1.2589
115,71.540,1.2589
116,71.540,1.2589
117,71.540,1.2589
118,71.540,1.2589
119,71.540,1.2589
120,71.540,1.2589
121,71.540,1.2589
122,71.540,1.2589
123,71.540,1.2589
124,71.540,1.2589
125,71.540,1.2589
126,71.540,1.2589
127,71.540,1.2589
128,71.540,1.2589
129,71.540,1.2589
130,71.540,1.2589
131,71.540,1.2589
132,71.540,1.2589
133,71.540,1.2589
134,71.540,1.2589
135,71.540,1.2589
136,71.540,1.2589
137,71.540,1.2589
138,71.540,1.2589
139,71.540,1.2589
140,71.540,1.2589
141,71.540,1.2589
142,71.540,1.2589
143,71.540,1.2589
144,71.540,1.2589
145,71.540,1.2589
146,71.540,1.2589
147,71.540,1.2589
148,71.540,1.2589
149,71.540,1.2589
150,71.540,1.2589
151,71.540,1.2589
152,71.540,1.2589
153,71.540,1.2589
154,71.540,1.2589
155,71.540,1.2589
156,71.540,1.2589
157,71.540,1.2589
158,71.540,1.2589
159,71.540,1.2589
160,71.540,1.2589
161,71.540,1.2589
162,71.540,1.2589
163,71.540,1.2589
164,71.540,1.2589
165,71.540,1.2589
166,71.540,1.2589
167,71.540,1.2589
168,71.540,1.2589
169,71.540,1.2589
170,71.540,1.2589
171,71.540,1.2589
172,71.540,1.2589
173,71.540,1.2589
174,71.540,1.2589
175,71.540,1.2589
176,71.540,1.2589
177,71.540,1.2589
178,71.540,1.2589
179,71.540,1.2589
180,71.540,1.2589
181,71.540,1.2589
182,71.540,1.2589
183,71.540,1.2589
184,71.540,1.2589
185,71.540,1.2589
186,71.540,1.2589
187,71.540,1.2589
188,71.540,1.2589
189,71.540,1.2589
190,71.540,1.2589
191,71.540,1.2589
192,71.540,1.2589
193,71.540,1.2589
194,71.540,1.2589
195,71.540,1.2589
196,71.540,1.2589
197,71.540,1.2589
198,71.540,1.2589
199,71.540,1.2589
